feature,precision,recall,f1,category
workclass,0.7431693989071039,0.2725450901803607,0.3988269794721408,Private
workclass,0.7045454545454546,0.2421875,0.3604651162790698,Local-gov
workclass,0.8888888888888888,0.20253164556962025,0.32989690721649484,State-gov
workclass,0.8333333333333334,0.32786885245901637,0.4705882352941176,Self-emp-inc
workclass,0.8235294117647058,0.35,0.4912280701754386,?
workclass,0.7307692307692307,0.2857142857142857,0.4108108108108108,Self-emp-not-inc
workclass,0.6956521739130435,0.20253164556962025,0.3137254901960784,Federal-gov
workclass,1.0,1.0,1.0,Without-pay
education,0.5576923076923077,0.17159763313609466,0.2624434389140271,HS-grad
education,0.6936936936936937,0.27898550724637683,0.3979328165374677,Some-college
education,0.8159509202453987,0.3057471264367816,0.4448160535117057,Bachelors
education,0.881578947368421,0.3435897435897436,0.49446494464944657,Masters
education,0.3333333333333333,0.16666666666666666,0.2222222222222222,5th-6th
education,1.0,0.5,0.6666666666666666,1st-4th
education,0.5,0.16666666666666666,0.25,12th
education,0.4,0.2222222222222222,0.2857142857142857,11th
education,1.0,0.27692307692307694,0.4337349397590362,Doctorate
education,1.0,0.0,0.0,9th
education,0.7368421052631579,0.19444444444444445,0.3076923076923077,Assoc-voc
education,0.25,0.1111111111111111,0.15384615384615383,10th
education,0.75,0.2222222222222222,0.34285714285714286,Assoc-acdm
education,0.975609756097561,0.40404040404040403,0.5714285714285715,Prof-school
education,0.5,0.2857142857142857,0.36363636363636365,7th-8th
education,0.0,1.0,0.0,Preschool
marital-status,0.3717948717948718,0.3020833333333333,0.33333333333333337,Never-married
marital-status,0.8382352941176471,0.2571428571428571,0.3935558112773302,Married-civ-spouse
marital-status,0.7090909090909091,0.37142857142857144,0.48750000000000004,Divorced
marital-status,0.6923076923076923,0.4090909090909091,0.5142857142857142,Separated
marital-status,0.5833333333333334,0.3684210526315789,0.4516129032258065,Widowed
marital-status,0.5,0.16666666666666666,0.25,Married-spouse-absent
marital-status,1.0,0.0,0.0,Married-AF-spouse
occupation,0.65,0.21311475409836064,0.32098765432098764,Transport-moving
occupation,0.8731343283582089,0.2903225806451613,0.4357541899441342,Prof-specialty
occupation,0.8851351351351351,0.34203655352480417,0.4934086629001883,Exec-managerial
occupation,0.5263157894736842,0.2,0.28985507246376807,Machine-op-inspct
occupation,0.5777777777777777,0.24761904761904763,0.3466666666666667,Adm-clerical
occupation,0.8235294117647058,0.35,0.4912280701754386,?
occupation,0.5,0.2857142857142857,0.36363636363636365,Handlers-cleaners
occupation,0.6,0.18232044198895028,0.2796610169491526,Craft-repair
occupation,0.3333333333333333,0.125,0.18181818181818182,Other-service
occupation,0.7391304347826086,0.2537313432835821,0.37777777777777777,Sales
occupation,0.7272727272727273,0.20512820512820512,0.32,Protective-serv
occupation,0.6666666666666666,0.23529411764705882,0.3478260869565218,Tech-support
occupation,0.0,1.0,0.0,Priv-house-serv
occupation,0.36363636363636365,0.2222222222222222,0.27586206896551724,Farming-fishing
occupation,1.0,0.0,0.0,Armed-Forces
relationship,0.09523809523809523,0.14285714285714285,0.11428571428571427,Own-child
relationship,0.841225626740947,0.257459505541347,0.39425587467362927,Husband
relationship,0.5,0.32653061224489793,0.39506172839506176,Unmarried
relationship,0.616822429906542,0.3548387096774194,0.45051194539249145,Not-in-family
relationship,0.8695652173913043,0.26490066225165565,0.40609137055837574,Wife
relationship,0.3333333333333333,0.16666666666666666,0.2222222222222222,Other-relative
race,0.6923076923076923,0.2608695652173913,0.3789473684210526,Black
race,0.7588235294117647,0.26931106471816285,0.3975346687211094,White
race,1.0,0.375,0.5454545454545454,Other
race,0.6666666666666666,0.27586206896551724,0.3902439024390244,Asian-Pac-Islander
race,0.6,0.42857142857142855,0.5,Amer-Indian-Eskimo
sex,0.7777777777777778,0.2666168782673637,0.39710789766407123,Male
sex,0.6422018348623854,0.2916666666666667,0.4011461318051577,Female
native-country,0.7443181818181818,0.2727272727272727,0.3991874047739969,United-States
native-country,1.0,0.4444444444444444,0.6153846153846153,Germany
native-country,0.6666666666666666,0.25,0.36363636363636365,Mexico
native-country,1.0,0.0,0.0,Jamaica
native-country,1.0,0.2,0.33333333333333337,Japan
native-country,1.0,0.4,0.5714285714285715,India
native-country,0.875,0.25,0.3888888888888889,?
native-country,0.0,0.0,1.0,Vietnam
native-country,1.0,0.3333333333333333,0.5,Cuba
native-country,1.0,0.0,0.0,Portugal
native-country,0.8333333333333334,0.3333333333333333,0.47619047619047616,Philippines
native-country,1.0,0.0,0.0,France
native-country,1.0,0.0,0.0,Puerto-Rico
native-country,1.0,0.0,0.0,Iran
native-country,1.0,0.2857142857142857,0.4444444444444445,England
native-country,0.5,1.0,0.6666666666666666,South
native-country,1.0,0.0,0.0,Yugoslavia
native-country,1.0,0.0,0.0,Ecuador
native-country,1.0,0.2,0.33333333333333337,China
native-country,1.0,0.0,0.0,El-Salvador
native-country,1.0,0.16666666666666666,0.2857142857142857,Taiwan
native-country,1.0,1.0,1.0,Haiti
native-country,1.0,0.3333333333333333,0.5,Italy
native-country,1.0,1.0,1.0,Dominican-Republic
native-country,1.0,0.1111111111111111,0.19999999999999998,Canada
native-country,1.0,0.0,0.0,Nicaragua
native-country,1.0,0.0,0.0,Columbia
native-country,1.0,0.0,0.0,Hungary
native-country,1.0,0.0,0.0,Laos
native-country,1.0,1.0,1.0,Honduras
native-country,1.0,1.0,1.0,Thailand
native-country,1.0,1.0,1.0,Ireland
native-country,1.0,1.0,1.0,Guatemala
native-country,1.0,1.0,1.0,Greece
native-country,1.0,1.0,1.0,Peru
native-country,1.0,0.0,0.0,Poland
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
native-country,1.0,0.0,0.0,Cambodia
native-country,1.0,1.0,1.0,Trinadad&Tobago
native-country,1.0,1.0,1.0,Hong
native-country,1.0,1.0,1.0,Scotland
