feature,precision,recall,f1,category
workclass,0.6402266288951841,0.23155737704918034,0.34010534236267875,Private
workclass,0.4,0.2702702702702703,0.3225806451612903,?
workclass,0.6190476190476191,0.19402985074626866,0.29545454545454547,Federal-gov
workclass,0.676923076923077,0.28205128205128205,0.3981900452488688,Self-emp-not-inc
workclass,0.6875,0.1774193548387097,0.28205128205128205,State-gov
workclass,0.6153846153846154,0.29357798165137616,0.39751552795031053,Local-gov
workclass,0.9166666666666666,0.37606837606837606,0.5333333333333333,Self-emp-inc
workclass,1.0,1.0,1.0,Without-pay
workclass,1.0,1.0,1.0,Never-worked
education,0.5673076923076923,0.21223021582733814,0.3089005235602095,Some-college
education,0.5238095238095238,0.18032786885245902,0.2682926829268293,Assoc-voc
education,0.4785714285714286,0.19881305637982197,0.2809224318658281,HS-grad
education,0.8513513513513513,0.3351063829787234,0.4809160305343511,Masters
education,0.7368421052631579,0.25,0.37333333333333335,Assoc-acdm
education,0.8091603053435115,0.25790754257907544,0.3911439114391144,Bachelors
education,0.5,0.14285714285714285,0.22222222222222224,5th-6th
education,0.0,0.0,1.0,1st-4th
education,0.3,0.2727272727272727,0.28571428571428564,10th
education,0.45454545454545453,0.5,0.47619047619047616,11th
education,0.5,0.25,0.3333333333333333,9th
education,0.18181818181818182,0.25,0.2105263157894737,7th-8th
education,0.5,0.25,0.3333333333333333,12th
education,0.9354838709677419,0.3258426966292135,0.4833333333333334,Prof-school
education,0.8571428571428571,0.3050847457627119,0.45000000000000007,Doctorate
education,1.0,1.0,1.0,Preschool
marital-status,0.7627118644067796,0.2393617021276596,0.3643724696356276,Married-civ-spouse
marital-status,0.38372093023255816,0.3626373626373626,0.37288135593220334,Never-married
marital-status,0.42857142857142855,0.26373626373626374,0.32653061224489793,Divorced
marital-status,0.3125,0.45454545454545453,0.3703703703703703,Widowed
marital-status,0.0,0.0,1.0,Married-spouse-absent
marital-status,0.375,0.3,0.33333333333333326,Separated
marital-status,1.0,0.0,0.0,Married-AF-spouse
occupation,0.8769230769230769,0.29765013054830286,0.4444444444444445,Exec-managerial
occupation,0.7619047619047619,0.2807017543859649,0.41025641025641024,Tech-support
occupation,0.64,0.2608695652173913,0.37065637065637064,Sales
occupation,0.3076923076923077,0.25,0.27586206896551724,Handlers-cleaners
occupation,0.4,0.2702702702702703,0.3225806451612903,?
occupation,0.3125,0.10869565217391304,0.16129032258064516,Machine-op-inspct
occupation,0.5584415584415584,0.21393034825870647,0.3093525179856115,Craft-repair
occupation,0.48484848484848486,0.16,0.24060150375939848,Adm-clerical
occupation,0.23809523809523808,0.18518518518518517,0.20833333333333334,Other-service
occupation,0.7583333333333333,0.2585227272727273,0.3855932203389831,Prof-specialty
occupation,0.5625,0.15,0.23684210526315785,Transport-moving
occupation,0.55,0.5,0.5238095238095238,Farming-fishing
occupation,0.6153846153846154,0.21052631578947367,0.3137254901960784,Protective-serv
occupation,1.0,1.0,1.0,Priv-house-serv
occupation,1.0,0.0,0.0,Armed-Forces
relationship,0.784741144414169,0.24636441402908468,0.37500000000000006,Husband
relationship,0.6097560975609756,0.1773049645390071,0.27472527472527475,Wife
relationship,0.18518518518518517,0.3125,0.2325581395348837,Own-child
relationship,0.25,0.2,0.22222222222222224,Other-relative
relationship,0.5,0.3488372093023256,0.4109589041095891,Unmarried
relationship,0.4144144144144144,0.30666666666666664,0.3524904214559387,Not-in-family
race,0.6705426356589147,0.2494592645998558,0.36363636363636365,White
race,0.5588235294117647,0.2602739726027397,0.3551401869158879,Black
race,0.5,0.20689655172413793,0.2926829268292683,Asian-Pac-Islander
race,0.75,0.75,0.75,Other
race,0.0,0.0,1.0,Amer-Indian-Eskimo
sex,0.7239130434782609,0.25419847328244277,0.376271186440678,Male
sex,0.39166666666666666,0.21962616822429906,0.281437125748503,Female
native-country,0.6579439252336449,0.25341972642188626,0.3659043659043659,United-States
native-country,0.0,0.0,1.0,El-Salvador
native-country,0.5,0.4,0.4444444444444445,South
native-country,0.8333333333333334,0.3333333333333333,0.47619047619047616,?
native-country,0.0,0.0,1.0,Vietnam
native-country,0.3333333333333333,0.1111111111111111,0.16666666666666666,Philippines
native-country,0.5,0.3333333333333333,0.4,Mexico
native-country,0.6666666666666666,0.2222222222222222,0.3333333333333333,Germany
native-country,1.0,0.0,0.0,China
native-country,0.5,0.14285714285714285,0.22222222222222224,India
native-country,1.0,0.0,0.0,Portugal
native-country,1.0,0.0,0.0,Peru
native-country,0.8,0.8,0.8000000000000002,Puerto-Rico
native-country,1.0,0.0,0.0,Yugoslavia
native-country,1.0,0.0,0.0,Cuba
native-country,1.0,1.0,1.0,Trinadad&Tobago
native-country,1.0,1.0,1.0,Dominican-Republic
native-country,1.0,0.3333333333333333,0.5,Japan
native-country,1.0,0.2857142857142857,0.4444444444444445,Taiwan
native-country,0.5,0.125,0.2,Canada
native-country,1.0,1.0,1.0,Honduras
native-country,1.0,0.0,0.0,France
native-country,1.0,0.0,0.0,Columbia
native-country,1.0,0.0,0.0,Iran
native-country,1.0,0.0,0.0,Italy
native-country,1.0,0.0,0.0,Hong
native-country,0.0,0.0,1.0,Jamaica
native-country,1.0,0.0,0.0,Cambodia
native-country,1.0,0.0,0.0,Laos
native-country,1.0,0.5,0.6666666666666666,Greece
native-country,1.0,1.0,1.0,Thailand
native-country,1.0,0.2857142857142857,0.4444444444444445,England
native-country,1.0,0.0,0.0,Guatemala
native-country,1.0,1.0,1.0,Ecuador
native-country,0.0,0.0,1.0,Poland
native-country,1.0,0.0,0.0,Haiti
native-country,1.0,1.0,1.0,Nicaragua
native-country,1.0,0.0,0.0,Scotland
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
native-country,1.0,1.0,1.0,Ireland
native-country,1.0,0.0,0.0,Hungary
